HOF_status,PA,HR,R,RBI,AVG,OBP,SLG,wRC+,Off,WAR
1,10616,714,2174,2217,0.342,0.474,0.69,194,1336.3,167.0
1,12541,660,2068,1909,0.301,0.384,0.557,154,835.8,149.8
1,13072,117,2246,1937,0.366,0.433,0.512,164,1027.9,149.1
1,11739,101,1736,1732,0.327,0.391,0.466,147,704.7,138.1
1,13940,755,2174,2297,0.305,0.374,0.555,153,882.0,136.3
1,11988,117,1882,1529,0.345,0.428,0.5,156,807.4,130.2
1,9791,521,1798,1839,0.344,0.482,0.634,187,1064.0,129.8
1,9475,301,1579,1584,0.358,0.434,0.577,170,853.4,129.1
1,12712,475,1949,1951,0.331,0.417,0.559,157,901.6,126.4
1,12037,47,1821,1300,0.333,0.424,0.429,144,655.1,120.1
1,9660,493,1888,1995,0.34,0.447,0.632,171,949.5,115.9
1,9909,536,1677,1509,0.298,0.421,0.557,170,842.6,112.3
1,11337,511,1859,1860,0.304,0.414,0.533,154,806.0,110.1
1,10062,548,1506,1595,0.267,0.38,0.527,147,538.3,106.5
1,13346,297,2295,1115,0.279,0.401,0.419,132,650.9,106.3
1,11743,586,1829,1812,0.294,0.389,0.537,153,731.6,104.0
1,10460,83,1504,1599,0.338,0.38,0.467,144,543.8,102.2
1,9670,534,1751,1922,0.325,0.428,0.609,156,756.2,101.4
1,11329,268,1650,1133,0.271,0.392,0.427,135,525.5,98.8
1,10101,512,1509,1453,0.271,0.376,0.509,143,532.7,96.1
1,13991,452,1816,1844,0.285,0.379,0.462,130,463.3,94.8
1,12883,431,1647,1695,0.276,0.34,0.447,112,165.4,92.5
1,11319,97,1996,2076,0.333,0.393,0.445,134,567.1,91.2
1,11597,399,1622,1583,0.297,0.376,0.48,134,459.8,88.9
1,10740,118,1513,1013,0.328,0.415,0.443,132,399.0,88.3
1,8837,138,1620,1322,0.317,0.397,0.486,143,553.7,86.2
1,10151,73,1539,1437,0.295,0.361,0.405,118,307.4,84.6
1,10614,468,1619,1623,0.303,0.401,0.529,141,559.1,84.6
1,11625,317,1583,1596,0.305,0.369,0.487,132,439.6,84.6
1,12130,477,1524,1707,0.286,0.339,0.48,115,205.2,83.5
1,7671,361,1390,1537,0.325,0.398,0.579,151,527.7,82.6
1,10212,240,1416,1305,0.317,0.359,0.475,129,337.2,80.6
1,9431,449,1517,1529,0.297,0.408,0.54,149,594.6,80.2
1,11782,268,1232,1357,0.267,0.322,0.401,104,56.1,80.2
1,10237,184,1774,1427,0.32,0.404,0.48,124,334.7,78.6
1,11304,630,1662,1836,0.284,0.37,0.538,131,444.1,77.7
1,8673,389,1091,1376,0.267,0.342,0.476,125,251.8,74.8
1,10100,105,1532,1244,0.316,0.369,0.432,112,213.6,74.8
1,10762,113,1627,1309,0.333,0.404,0.473,135,501.1,74.8
1,8389,101,1599,1464,0.346,0.411,0.505,144,574.2,73.7
1,12602,260,1923,1311,0.31,0.377,0.44,119,332.7,73.0
1,9819,67,1619,1015,0.312,0.386,0.429,131,404.1,72.8
1,11416,563,1551,1702,0.262,0.356,0.49,139,499.7,72.7
1,10243,45,1319,1116,0.31,0.399,0.398,115,181.8,72.6
1,7721,96,1173,926,0.318,0.406,0.453,138,384.4,72.4
1,10550,92,1424,1015,0.328,0.393,0.429,132,380.5,72.3
1,10075,521,1494,1704,0.301,0.419,0.555,154,653.0,72.1
1,10594,97,1391,1525,0.309,0.362,0.452,138,443.3,71.1
1,9397,342,1138,1331,0.277,0.362,0.464,126,263.2,70.9
1,7584,40,1690,736,0.344,0.455,0.432,142,592.3,70.3
1,8518,316,1211,1287,0.281,0.364,0.49,122,252.4,69.9
1,9019,324,1025,1225,0.262,0.335,0.439,116,151.3,69.4
1,9515,307,1507,1827,0.334,0.38,0.535,129,381.3,69.4
1,10313,612,1583,1699,0.276,0.402,0.554,145,554.5,69.0
1,8030,383,1355,1311,0.313,0.4,0.565,140,427.9,68.7
1,8960,183,1291,1539,0.342,0.41,0.52,142,510.3,68.6
1,10270,311,1354,1332,0.296,0.334,0.464,104,37.0,68.4
1,9853,376,1276,1330,0.269,0.341,0.457,117,191.1,68.3
1,7371,359,1118,1337,0.312,0.397,0.562,155,509.0,68.1
1,12167,234,1782,1307,0.306,0.369,0.448,122,366.1,67.7
1,10778,28,1257,793,0.262,0.337,0.328,90,-69.4,67.6
1,9691,521,1229,1555,0.27,0.374,0.515,145,498.7,67.4
1,9057,198,1329,960,0.295,0.371,0.444,118,240.8,67.0
1,8838,170,1233,1424,0.301,0.39,0.468,119,220.6,66.6
1,12249,251,1632,1406,0.285,0.342,0.43,113,206.0,66.5
1,9831,573,1283,1584,0.256,0.376,0.509,142,477.0,66.1
1,12504,291,1844,1175,0.281,0.363,0.433,115,276.8,65.8
1,8678,309,1219,1262,0.312,0.418,0.515,147,500.5,65.5
1,10232,135,1383,1138,0.338,0.388,0.459,132,401.5,65.0
